WORD,MEANING,PART OF SPEECH
leam,᛫ a flame ᛫ a flash ᛫ a gleam ᛫ a ray ᛫ a radiance ᛭ to flame ᛫ to blaze ᛫ to flash ᛫ to glow ᛫ to shine ᛫to radiate ᛫ to gleam ᛫,N᛭V
lean,᛫ a loan ᛫,N
leandom,᛫ feudalism ᛫,N
leaning,᛫ an inclination ᛫ a tendency ᛫ a partiality ᛫,N
leanland,᛫ leased land ᛫ feudal land ? ᛫,N
leap,᛫ a basket for carrying grain ; bread ; gravel ; etc ᛫ a basket for holding or catching fish ᛫ the amount ofthings held in a basket ᛫,N
leap,᛫ to jump high or over a long distance ᛫,V
lear,᛫ to teach ᛫ to teach oneself ᛫ to instruct ᛫ to educate ᛫ to cultivate ᛫ to train ᛫,V
leared,᛫ educated ᛫,AJ
learer,᛫ a teacher ᛫ a professor ᛫,N
learned,᛫ educated ᛫ scholarly ᛫,AJ
learner,᛫ a student ᛫ a pupil ᛫ an apprentice ᛫,N
learning,᛫ a lesson ᛫ instruction ᛫ a doctrine ᛫ a maxim ᛫,N
learninghouse,᛫ a school ᛫,N
learningman,᛫ a pupil ᛫ a student ᛫ a disciple ᛫,N
lease,᛫ a lie ᛫ falsehood ᛭ to lie ᛫ to slander ᛫ to calumniate ᛫ to malign ᛫ to slander ᛫ to traduce ᛭ false ᛫deceptive ᛫ destitute ᛫ bereft ᛫,N᛭V᛭AJ
lease,᛫ to collect ᛫ to glean ᛫ to gather ᛫,V
lease,᛫ pseudo- ᛫,PREFIX
leasename,᛫ a pseudonym ᛫,N
leasesawl,᛫ mendacious ᛫ falsehood saying ᛫,AJ
leasespel,᛫ a fable ᛫ a fiction ᛫,N
leaseteeth,᛫ false teeth ᛫ dentures ᛫,N
leasow,᛫ a pasture ᛭ to pasture ᛫,N᛭V
least,᛫ some kind of foot covering ( a shinguard ? ) ᛫,N
leastwield,᛫ minarchy ᛫,N
leat,᛫ an artificial water trench ( esp one linked to a mill ) ᛫,N
leath,᛫ odium ᛫ enmity ᛫ hatred ᛫ hostility ᛫,N
leathern,᛫ made of leather ᛫,AJ
leatherwright,᛫ a currier ᛫,N
leave,᛫ permission ᛫ licence ᛭ to permit ᛫ to allow ᛫ to authorize ᛫ to licence ᛫,N᛭V
leave out,᛫ to omit ᛫ to exclude ᛫ to skip over ᛫,V
leaveful,᛫ allowable ᛫ permissible ᛫,AJ
ledge,᛫ ( denotes being ; becoming ; and making ) ᛫,SUFFIX
ledger,᛫ a book for keeping notes ᛫ A collection of credit and debit entries ᛫,N
lee,᛫ protection ᛫ shelter ᛫ a side facing away from the wind ᛭ sheltered from the wind ᛫,N᛭AJ
lee,᛫ a lion ᛫,N
Lee,᛫ Leo ᛫,N(P)
leech,᛫ a physician ᛫ a doctor ᛭ to doctor ᛫ to cure ᛫ to treat ( in the medical sense ) ᛫,N
leechbook,᛫ a medicine book ᛫,N
leechcraft,᛫ the medical craft and practice ᛫,N
leechdom,᛫ a medicine ᛫ a remedy ᛫,N
leechhouse,᛫ a hospital ᛫,N
leechwort,᛫ a medicinal plant ᛫,N
leed,᛫ a person ᛫,N
Leeden,᛫ Latin speech ᛭ Latin ᛫,N(P)᛭AJ(P)
leedfrom,᛫ a national founder ᛫ a founder of a people ᛫,N
leedhate,᛫ tyrant ᛫,N
leedshather,᛫ a public enemy ᛫,N
leedy,᛫ personal ᛫,AJ
leen,᛫ a lioness ᛫,N
leep,᛫ a basket ᛫,N
leepard,᛫ a leopard ᛫,N
leer,᛫ a cheek ᛫ a face ᛫ one's appearance ᛭ to sneakily look ᛫,N᛭V
leery,᛫ cautious ᛫ hesitant ᛫,AJ
leese,᛫ to release ᛫ to free ᛫ to loosen ᛫ to redeem ᛫ to deliver ( as in save ) ᛫,V
leeselore,᛫ soteriology ᛫,N
leeser,᛫ a liberator ᛫ a redeemer ᛫,N
leet,᛫ an intersection ᛫ a crossroads ᛫,N
leet,᛫ to cast lots ᛫ to obtain by lot ᛫,V
leeth,᛫ a relief from pain ᛫ peace ᛫ mercy ᛫,N
leeth,᛫ a poem ᛫ an ode ᛫,N
leethcraft,᛫ poetry ᛫,N
leethe,᛫ to free ᛫ to loose ᛫ to spare ᛫,V
leether,᛫ a poet ᛫,N
leethwork,᛫ composition ᛫ poem writing ᛫,N
leethy,᛫ poetic ᛫ symbolic [ᚹ] ᛫,AJ
leeway,᛫ an amount of freedom or flexibility ᛫ the drift of a ship or plane in a leeward direction ᛫,N
leftover,᛫ a remnant ᛭ remaining ᛫ residual ᛫,N᛭AJ
leftwise,᛫ counterclockwise ᛫ anticlockwise ᛫,AV
leighton,᛫ a garden ( esp a kitchen garden or a herb garden ) ᛫,N
leman,᛫ a paramour ᛫ a sweetheart ᛫ a mistress ᛫ a lover ᛫,N
lench,᛫ arrogance ᛫ haughtiness ᛫ insolence ᛫ magnificence ᛫ pomp ᛭ to take pride in ᛫ to pride oneself ᛫,V
lench,᛫ a link ᛫ a chain ᛫ a coat of mail ᛫,N
lend,᛫ a loin of humans ᛫ loins of humans ᛫,N
lend,᛫ to arrive ᛫ to reside ᛫ to inhabit ᛫ to remain ᛫,V
lend,᛫ to loan ᛫,V
lendbone,᛫ an ilium ᛫,N
lendridgebone,᛫ a lumbar vertebra ᛫,N
lengthen,᛫ to prolong ᛫,V
lense,᛫ to make lean ᛫,V
lent,᛫ the spring season ᛫,N
lentlily,᛫ a daffodil ᛫,N
lere,᛫ empty ᛫ unoccupied ᛫ deserted ᛫ worthless ᛫ unnecessary ᛫ useless ᛫,AJ
less,᛫ of lower rank ; degree ; importance ; amount ; etc ᛭ not so much or so well ᛭ minus ᛫ diminished by ᛫,AJ᛭AV᛭P
lessen,᛫ to decrease ᛫ to reduce ᛫ to diminish ᛫ to degrade ᛫ to demean ᛫ to disparage ᛫ to debase ᛫,V
lessening,᛫ decreasing ᛫ diminishing ᛫ degrading ᛫ derogatory ᛫ demeaning ᛫ disparaging ᛫ debasing ᛫,AJ
lesser,᛫ minor ᛫,AJ
lesserape,᛫ a gibbon ᛫,N
lesserhood,᛫ a minority ᛫,N
lest,᛫ -lessness ᛫,SUFFIX
lest,᛫ for fear that ᛫,C
let,᛫ an obstruction ᛫ a hindrance ᛫ an obstacle ᛫ an impediment ᛫ a speech impediment ᛫,N
let down,᛫ a disappointment ᛭ to disappoint ᛫,N᛭V
letch,᛫ to be warm ᛫ to be lukewarm ᛫ to be tepid ᛫,V
letch,᛫ to moisten ᛫ to wet ᛫ to water ᛫,V
letdown,᛫ a disappointment ᛫,N
letgame,᛫ a spoilsport ᛫,N
Lett,᛫ a Latvian ᛫,N(P)
Lettland,᛫ Latvia ᛫,N(P)
Lettow,᛫ Lithuania ? ᛫,N(P)
letty,᛫ preventive ᛫ obstructive ᛫,AJ
letup,᛫ to cease ᛫ to soften an attack or criticism ᛫,V
leven,᛫ electricity [ᚹ] ᛫ lightning ᛫ a beam of light ᛫ a flame ᛭ to electrify [ᚹ] ᛫ to shoot out lightning ᛫,N᛭V
levenlore,᛫ electronics ( the study of electrons ) ᛫,N
levenmote,᛫ an electron ᛫,N
leveny,᛫ electric ᛫ electronic ᛫,AJ
lew,᛫ -prone ᛫,SUFFIX
lew,᛫ tepid ᛫ unzealous ᛫ ,AJ
lew,᛫ a perna ᛫,N
lewd,᛫ sexually crude ᛫,AJ
lewth,᛫ shelter ᛫,N
lib,᛫ medicine ᛫ a drug ᛫ a potion ᛫ poison ᛫,N
libhouse,᛫ a pharmacy ᛫ a drugstore ᛫ a chemist's shop ᛫ an apothecary ᛫ ,N
liblock,᛫ the art or crafting of medicine drugs or potions ( often with a negative connotation ) ᛫,N
liblocker,᛫ a magician skilled in drugs ᛫,N
liblore,᛫ pharmacology ᛫,N
libman,᛫ a pharmacist ᛫ a druggist ᛫ a chemist ᛫ an apothecary ᛫,N
libsen,᛫ a charm ᛫ an amulet ᛫,N
libster,᛫ a potion making woman ? ᛫ a witch ? ᛫,N
lich,᛫ a corpse ᛫ a cadaver ᛫ an undead creature ( such as a zombie or ghoul ) ᛫,N
lichame,᛫ a body ᛫ a corpse ᛫,N
lichblossom,᛫ an Amorphophallus titanum plant ( a titan arum ) ᛫ a Rafflesia arnoldii plant ( a stinking corpse flower ;a stinking corpse lily ; a monster flower ),N
lichbour,᛫ a sarcophagus ᛫,N
lichet,᛫ to feign ᛫ to pretend ᛫ to profess falsely ᛫ to simulate ᛫,V
lichetter,᛫ a feigner ᛫ a pretender ᛫ a hypocrite ᛫ a simulator ᛫,N
lichetting,᛫ feigning ᛫ pretence ᛫ false representation ᛫ simulation ᛫ hypocrisy ᛫,N
lichhouse,᛫ a morgue ᛫ a mortuary ᛫,N
lichhower,᛫ a coroner ᛫,N
lichrest,᛫ a tomb ᛫ a sepulcher ᛫ cemetery ᛫,N
lichsong,᛫ a funeral song ᛫ a dirge ᛫,N
lichthroer,᛫ a leper ᛫,N
lichway,᛫ the path by which the dead are carried to the grave ᛫,V
lichyard,᛫ a cemetery ᛫ a graveyard ᛫,N
lickspittle,᛫ one who behaves obsequiously to those in power ᛫,N
lickspittle,᛫ a sycophant ᛫ a toady ᛫ a fawner ᛫,N
Lide,᛫ March ᛫,N(P)
lide,᛫ to sound ᛫,V
lief,᛫ a religious faith ᛫ a religion ᛫,N
lief,᛫ sir ( vocative ) ᛫ a beloved one ᛭ beloved ᛫ dear ᛭ why! ᛫,N᛭AJ᛭I
liefly,᛫ precious ᛫ valued ᛫ pleasant ᛫ pleasing ᛫ agreeable ᛫ delightful ᛫ loveable ᛭ willingly ᛫ gladly ᛫,AJ᛭AV
liefsome,᛫ agreeable ᛫ delightful ᛫ pleasing ᛫,AJ
liever,᛫ an ideologist ᛫ an ideologue ᛫ a religious person ᛫,N
liever,᛫ -ist ( but only for adherents ) ᛫,SUFFIX
life,᛫ vitality ᛫,N
lifeblood,᛫ blood needed for life ᛫ the essence or crux of something ᛫,N
lifefrea,᛫ lord of life ᛫,N
lifelode,᛫ the course of someone's life ᛫ a lifetime ᛫ conduct of life ᛫ way of life ᛫,N
lifelore,᛫ biology ᛫,N
lifesrun,᛫ a curriculum vitae ᛫ a CV ᛫ a résumé ᛫,N
lifeward,᛫ a lifeguard ᛫,N
liffet,᛫ to flatter ᛫ to adulate ᛫,V
liffeter,᛫ a flatterer ᛫ an adulator ᛫,N
liffeting,᛫ flattery ᛫ adulation ᛫,N
lift,᛫ air ᛫ the sky ᛫ the heavens ᛫ an elevator ᛭ to elevate ᛫,N᛭V
lift,᛫ aero- ᛫,PREFIX
liften,᛫ aerial ᛫,AJ
liftfleet,᛫ an air force ᛫,N
liftglass,᛫ a mirage ᛫,N
lifthaven,᛫ an airport ᛫,N
liftlore,᛫ aerology ᛫,N
liftshell,᛫ an atmosphere ᛫,N
liftship,᛫ an airship ᛫,N
liggat,᛫ a gate ( esp a swinging one ) ᛫,N
light,᛫ to come upon ᛫ to discover by chance ᛫,V
light saregun,᛫ a light machine gun ᛫,N
Lightbearend,᛫ Lucifer ᛫,N
lightbere,᛫ luminous ᛫ brilliant ᛫ splendid ᛫ lightbearing ᛫,AJ
lighteared,᛫ credulous ᛫,AJ
lighten,᛫ to make or become lighter ᛫ to brighten ᛫ to enlighten ᛫ to flash with lightning ᛫,V
lighter,᛫ a barge ᛫,N
lighthearted,᛫ cheerful ᛫ jaunty ᛫ easy-going ᛫ amusing ᛫ entertaining ᛫ flippant ᛫,AJ
lightminded,᛫ not given to heavy thoughts or thinking ᛫ frivolous ᛫ not serious ᛫,AJ
lightmindedness,᛫ lack of seriousness ᛫ frivolity ᛫,N
lightmood,᛫ light-hearted ᛫ easy-tempered ᛫,AJ
lightmote,᛫ a photon ᛫,N
lightsome,᛫ lighthearted ᛫ airy ᛫ nimble ᛫ bright ᛫,AJ
lightvat,᛫ lamp ᛫ lantern ᛫,N
likelihood,᛫ probability ᛫ chance ᛫,N
likely,᛫ probable ᛭ probably ᛫,AJ᛭AV
liken,᛫ to compare ᛫,V
likeness,᛫ a resemblance ᛫ a photograph ᛫,N
likening,᛫ a comparison ᛫,N
likesome,᛫ agreeable ᛫ pleasant ᛫ likable ᛫,AJ
likewise,᛫ similarly ᛫,AV
likeworthy,᛫ likeable ᛫,AJ
liking,᛫ pleasure ᛫ enjoyment ᛫ delight ᛫,N
lilycrop,᛫ a lilypad ᛫,N
lim,᛫ to sound ᛫,V
limb,᛫ a member ᛫ a part ᛫ a branch ᛫,N
limbmeal,᛫ limb from limb ᛫ in pieces ᛫,AV
lime,᛫ glue ᛫ mortar ᛫ cement ᛫ calcium oxide ᛫,N
lime,᛫ a Tilia plant ( linden trees ; basswood trees ; lime trees ) ᛫,N
lime,᛫ a piece of fruit of certain Citrus plants ᛫ the lime hue ᛭ of lime hue ᛫,N᛭AJ
limen,᛫ to calcify ᛫,V
limewater,᛫ an alkaline water solution of calcium hydroxide used as an antacid ᛫,N
limp,᛫ an event ᛫ a chance happening ᛭ to happen ᛫ to occur ᛫,N᛭V
lin,᛫ to cease ᛫ to desist ᛫ to stop ᛫,V
linch,᛫ a ledge ᛫,N
lind,᛫ suet ᛫ lard ᛫ fat ᛫,N
line,᛫ made of flax ᛫,AJ
linen,᛫ cloth woven from flax ᛭ made of flax ᛫,N᛭AJ
ling,᛫ ( diminutive suffix ) ᛫,SUFFIX
linger,᛫ to remain ᛫ to loiter ᛫,V
linking,᛫ connecting ᛫ joining ᛫ copular ( like in linking verb ) ᛫,AJ
linksaw,᛫ a chainsaw ᛫,N
lippen,᛫ to rely on ᛫ to trust ᛫ to entrust ᛫,V
lipper,᛫ a ripple ᛭ to ripple ᛫,N᛭V
lippy,᛫ labial ᛫,AJ
lire,᛫ flesh ᛫ meat ᛫,N
lise,᛫ a report ᛫ fame ᛫ reputation ᛫ renown ᛭ to give credit ᛫,N᛭V
liss,᛫ contentment ᛫ relief ᛫ respite ᛭ to relieve ᛫ to assuage ᛫,N᛭V
lissome,᛫ nimble ᛫ supple ᛫ agile ᛫ easily flexed ᛫,AJ
list,᛫ an art ᛫ a craft ᛫ art ᛫,N
list,᛫ desire ᛫ inclination ᛫ craving ᛫ enthusiasm ᛭ to desire ᛫ to crave ᛫,N᛭V
listener,᛫ a microphone ᛫,N
listful,᛫ attentive ᛫,AJ
listless,᛫ desireless ᛫ lacking enthusiasm spirit and liveliness ᛫ apathetic ᛫,AJ
lite,᛫ looks ( usually good looks ) ᛫ beauty ᛫ a countenance ᛫ an appearance ᛫ a style ᛫ an aesthetic ᛭ to look ᛫to gaze ᛫,N᛭V
liteful,᛫ beautiful ᛫ handsome ᛫ comely ᛫ aesthetic [ᚹ] ᛫,AJ
liteless,᛫ hideous ᛫ without beauty ᛫,AJ
liteworth,᛫ a ransom ᛫,N
litey,᛫ beautiful ᛫ comely ᛫ attractive ᛫,AJ
lith,᛫ a slope ᛫,N
lith,᛫ a limb ᛫ a joint ᛫ a segment ᛫ a member ᛫,N
lithe,᛫ to sail ᛫ to travel by sea ᛫ to travel ᛫ to journey ᛫,V
lithe,᛫ flexible ᛫ limber ᛫ mellow ᛫ gentle ᛫ mild ᛫,AJ
lithe,᛫ strong drink ᛫ wine ᛫,N
litheby,᛫ meek ᛫ compliant ᛫ obedient ᛫,AJ
lither,᛫ base ᛫ vile ᛫ depraved ᛫ wicked ᛫ lewd ᛫ sordid ᛫ lazy ᛫ worthless ᛭ wickedly ᛫ treacherously ᛫ poorly ᛫,AJ᛭AV
lither,᛫ a sling ᛫ a launcher ᛭ to sling ᛫ to launch ᛫,N᛭V
lithfire,᛫ arthritis ᛫,N
lithsew,᛫ synovia ᛫ synovial fluid ᛫,N
lithword,᛫ an article ( grammatical term ) ᛫,N
litten,᛫ a graveyard ᛫ a cemetery ᛫,N
littiness,᛫ slyness ᛫ craftiness ᛫ cunningness ᛫ astuteness ᛫,N
Little Britain,᛫ Brittany ᛫,N(P)
Little Dipper,᛫ a bright circumpolar asterism of the northern sky which is part of Ursa Minor ᛫,N(P)
littlefinger,᛫ the pinky ᛫,N
littlom,᛫ gradually ᛫,AV
live,᛫ to exist ( esp of animate things ) ᛫,V
livelihood,᛫ a means of securing the necessities of life ᛫,N
livelong,᛫ the orphine ( Hylotelephium telephium ) ᛭ whole ᛫ entire ᛫,N᛭AJ
lively,᛫ full of life ᛫ vivid ᛫ animated ᛫ vital ᛫,AJ
liven,᛫ to enliven ᛫,V
liveradle,᛫ a liver disease ᛫,N
liverfire,᛫ hepatitis ᛫,N
liverwort,᛫ a Marchantia polymorpha plant ᛫,N
livingroom,᛫ a family room ᛫,N
lix,᛫ to flash ᛫ to glitter ᛫,V
lo,᛫ ( used to draw attention ) ᛫,I
load,᛫ to charge ( with electricity ) ᛫,V
loadboard,᛫ a pallet ( as in a portable platform for stacking goods ) ᛫,N
loanwend,᛫ a loan translation ( a calque ) ᛫,N
loast,᛫ a track ᛫ a footprint ᛫ a trace ᛫ a trail ᛭ to track ᛫ to trace ᛫ to trail ᛫,N
loath,᛫ averse ᛫ disinclined ᛫ reluctant ᛫ unwilling ᛫,AJ
loathe,᛫ to greatly hate ᛫ to detest ᛫ to revile ᛫,V
loathly,᛫ loathsome ᛫ repulsive ᛭ reluctantly ᛫,AJ᛭AV
loathsome,᛫ repulsive ᛫ offensive ᛫ abominable ᛫,AJ
loathspel,᛫ a tragic story ᛫ an unpleasant story ᛫,N
loave,᛫ praise ᛫ good reputation ᛫ price ᛫ value ᛫ an offer for sale ᛭ to praise ᛫ to approve ᛫ to appraise ᛫ toset a price on ᛫ to offer for sale ᛫,N᛭V
loavebere,᛫ laudatory ᛫,AJ
loavedeed,᛫ a praiseworthy deed ᛫,N
loaveful,᛫ amorous ᛫,AJ
loavely,᛫ praiseworthy ᛫ laudable ᛫ honourable ᛫,AJ
loavesome,᛫ deserving praise ᛫ excellent ᛫ noble ᛫,AJ
loavesong,᛫ a song of praise ᛫ a hymn ᛫ a psalm ᛫,N
lock,᛫ a tuft of hair ᛫,N
lock,᛫ -ation ᛫,SUFFIX
lock,᛫ to allure ᛫ to entice ᛫ bait ᛫,V
locker,᛫ to curl ᛫,V
lockered,᛫ curly ᛫ curled ᛫ tangled ᛫ matted ᛫,AJ
lodder,᛫ a poor person ᛫ a pauper ᛫ a worthless person ᛫,N
loddering,᛫ nonsense ᛫ rubbish ᛫ triviality ᛫,N
lode,᛫ an exculpation ᛫ a purgation ᛫ an excuse ᛭ to excuse ᛫ to clear one's name ᛫ to exculpate ᛫ ,N
lode,᛫ a deposit of ore ᛫ leading ᛫ guidance ᛫ a lodestone ᛫ a magnet ᛫ on object of attraction ᛫ a course ᛫ ajourney ᛫ a voyage ᛫,N
lodesman,᛫ a navigator ( distinct from the master and the steersman ) ᛫ a pilot of a ship ᛫ a pilot [ᚹ] ᛫ a guide (animate ) ᛫ a conductor ᛫,N
lodestar,᛫ a guiding star ᛫ a tenet ᛫ a guiding principle ᛫,N
lodestone,᛫ magnetite ᛫ a naturally occurring magnet ᛫ someone or something that is the focus of attention ᛫,N
loft,᛫ an attic ᛫ a sollar ᛫ a garret ᛫,N
lofty,᛫ elevated ( literally and figuratively ) ᛫ noble ᛫,AJ
loke,᛫ a private road ᛫ a blind alley ᛫,N
loke,᛫ to play ᛫ to wave or to swing about ᛫,V
loke,᛫ a present ᛫ an offering or sacrifice of a religious nature ᛭ to offer ( religion ) ᛫ to sacrifice (religion ) ᛫,N
loken,᛫ to heal ᛫ to cure ᛫ to treat a wound or illness ᛫ to tend to ᛫ to take care of ᛫ to dress a wound ᛫,V
lokening,᛫ -therapy ᛫,SUFFIX
lokening,᛫ healing ᛫ cure ᛫ remedy ᛫ medicine ᛫,V
Loller,᛫ a Lollard ᛫ a protestant [ᚹ] ᛫,N
Londonbury,᛫ the City of London ᛫,N
lone,᛫ solitary ᛫ isolated ᛫ sole ᛫ single ᛫ individual ᛫,AJ
lonesome,᛫ solitary ᛫ lonely ᛫ unfrequented ᛫,AJ
long,᛫ to have a strong wish or desire ᛫,V
long,᛫ to concern [ᚾ] ᛫ to pertain [ᚾ] ᛫ to relate [ᚾ] ᛫ to be affiliated [ᚾ] ᛫,V
long hundred,᛫ 120 ᛫,N
long sweetening,᛫ molasses ᛫,N
longaxe,᛫ a poleaxe ᛫ a halberd ᛫,N
Longbeard,᛫ a Lombard ᛫,N(P)
longgun,᛫ a gun with a long barrel ᛫ a cannon ᛫,N
longminded,᛫ longanimous ᛫,AJ
longmindedness,᛫ longanimousness ᛫,N
longmood,᛫ patient ᛫,AJ
longmoodly,᛫ patiently ᛫,AV
longmoodness,᛫ patience ᛫,N
longplayer,᛫ a kind of vinyl record ᛫ an album of music which is full length ᛫,N
longshoreman,᛫ a stevedore ᛫ a docker ᛫,N
longshort,᛫ a trochee ᛭ trochaic ᛫,N᛭AJ
longsome,᛫ tediously long ᛫,AJ
longwinded,᛫ of continuing at tedious length ᛫,AJ
lonk,᛫ pride ᛫ arrogance ᛭ physically beautiful ᛫ graceful ᛫ noble ᛫ fine ᛫ splendid ᛫ majestic ᛫ arrogant ᛫haughty ᛫ proud ᛫ pompous ᛫,N
lonkful,᛫ arrogant ᛫ full of arrogance ᛫,AJ
loof,᛫ the palm of the hand ᛫,N
lookbook,᛫ a photo album for a particular thing ( genre ; artist ; etc ) ᛫,N
looking glass,᛫ a mirror ᛫,N
lookout,᛫ an observation post ᛫ a sentinel ᛫ sentry ᛫,N
looks,᛫ one's physical appearance or attractiveness ᛫,N
loom,᛫ an implement ᛫ a means ( figurative ) ᛫ a weaving machine ᛫ a device ᛫ a machine ᛫,N
loose,᛫ relaxed ᛫ unrestrained ᛫ unsecure ᛫,AJ
lootby,᛫ a concubine ᛫ a paramour ᛫,N
looth,᛫ booty ᛫ spoils ᛭ to take booty ᛫,N᛭V
lop,᛫ a spider ᛫ a flea ᛫ a fly ᛫ an insect [ᚹ] ᛫,N
lord,᛫ a master ᛫ a nobleman ᛫ lord ( form of address) ᛫,N
lording,᛫ a lord ᛫ a sir ᛫,N
lording,᛫ a gentleman ᛫,N
lordly,᛫ of ; relating to ; or having characteristics of a lord ᛫ dignified ᛫ grand ᛫ noble ᛫ exhibiting the prideand assurance associated with lords ᛫,AJ
lordship,᛫ dominion ᛫ authority ᛫ domain ᛫ jurisdiction ᛫ the state of being a lord ᛫,N
lordswike,᛫ a traitor to one's lord ᛫,N
lore,᛫ information ᛫ a system of tenets ; principles ; and precepts of a field of knowledge ; a science ; or areligion ᛫,N
lore,᛫ -ology ᛫,SUFFIX
lorebisen,᛫ a specimen ᛫,N
loreboder,᛫ a preacher ᛫,N
loreboding,᛫ preaching ᛫,V
lorebook,᛫ a textbook ᛫,N
lorefather,᛫ a teacher ᛫,N
lorehouse,᛫ a school ᛫ a university ᛫ a college ᛫,N
lorel,᛫ a rogue ᛫ a rascal ᛫ a scoundrel ᛫ a wretched person ᛫,N
loreless,᛫ lacking learning or knowledge ᛫ ignorant ᛫,AJ
lorelest,᛫ ignorance ᛫ educationlessness ᛫,N
lorelistend,᛫ one who listens to instruction ᛫ a catechumen ᛫,N
lorelship,᛫ rascality ᛫,N
lorely,᛫ instructive ᛫ of or pertaining to lore ᛫,AJ
lorequid,᛫ a precept ᛫ a doctrine ᛫,N
loresman,᛫ an instructor ᛫ an expert ᛫ a master of a field of knowledge ᛫,N
loresmith,᛫ a wise man ᛫,N
lorespel,᛫ a sermon ᛫ an epistle ᛫ a homily ᛫ a treatise ᛫ an essay ᛫,N
loreswike,᛫ false lore ᛫ pseudo-science ᛫,N
lorethew,᛫ a teacher ᛫ an instructor ᛫ a preceptor ᛫ a master of a subject or craft ᛫ a professor [ᚹ] ᛫,N
lorewit,᛫ a learned man ᛫,N
lorn,᛫ doomed ᛫ lost ᛫ forlorn ᛫ desolate ᛫,AJ
losel,᛫ a worthless person ᛫,N
loseyns,᛫ lasagna / lasagne ᛫,N
loss,᛫ a defeat ᛫,N
lot,᛫ a large quantity ᛫ a bunch of people ᛫ a portion ᛫ an allotment ᛫ one's role in life ᛫ a role ᛫,N
loth,᛫ a cloak ᛫ an upper garment ᛫ a mantle ᛫,N
loud,᛫ noise ᛫ clamor ᛫ tumult ᛭ noisy ᛫ clamorous ᛫,N᛭AJ
loudlore,᛫ acoustics ᛫,N
loudness,᛫ volume ( sound ) ᛫ noisiness ᛫,N
lough,᛫ a place ᛫ a stead ᛫,N
lough,᛫ a loch ᛫,N
lough,᛫ a hem ᛫ a fringe ᛫,N
louk,᛫ to close ᛫ to shut ᛫ to fasten ᛫ to lock up ᛫ to enclose ᛫ to surround ᛫,N
lour,᛫ a frown ᛫ a scowl ᛫ a sullen look ᛭ to frown ᛫ to scowl ᛫ to look sullen ᛫,N᛭V
louse,᛫ an Anoplura insect ᛫ a Mallophaga insect ᛫,N
lousy,᛫ full of lice ᛫ of low quality ᛫ contemptible ᛫ paltry ᛫,AJ
lout,᛫ to lurk ᛫ to lie hidden ᛫,V
lout,᛫ an awkward brutish person ᛭ to bow in respect ᛫ to submit ᛫ to yield ᛫,N᛭V
love,᛫ extreme affection ᛫,N
loveapple,᛫ a tomato ᛫,N
lovebite,᛫ a hickey ᛫,N
loveday,᛫ a day arranged for reconciliation or arbitration ᛫,N
loveling,᛫ a dear and lovely creature ᛫ a darling ᛫,N
lovelorn,᛫ without love ᛫,AJ
lovenly,᛫ adorable ᛫ lovable ᛫,AJ
lovered,᛫ love ( opposite of hatred ) ᛫,N
lovesome,᛫ affectionate ᛫ amorous ᛫,AJ
lovestitch,᛫ a Levisticum officinale plant ( lovage ) ᛫,N
lovetoken,᛫ something given as a sign or token of love ᛫,N
loveworthy,᛫ lovable ᛫ meriting love ᛫,AJ
low,᛫ a mound ( esp a burial mount ? ) ᛫ a tumulus ᛫,N
low,᛫ to moo ᛫,V
low,᛫ a low place ᛫ a commoner ᛫ a humble person ᛫,N
low end,᛫ of the lowest quality ᛫,AJ
lower chavelbone,᛫ a mandible ᛫,N
lower noseshell,᛫ an inferior nasal concha ᛫,N
lowkey,᛫ subtle ᛭ subtly ᛫,AJ᛭AV
lowland,᛫ a stretch of low or unmountainous land ᛫,N
lowlife,᛫ a despicable person ᛫ a scoundrel ᛫,N
lowling,᛫ a person of low status ᛫ a commoner ᛫,N
lowminded,᛫ inclined to vulgar or unworthy things ᛫,AJ
lox,᛫ a lynx ᛫,N
Ludder,᛫ a Luddite ᛫ one opposed to technological change ᛫,N
lungleech,᛫ a pulmonologist ᛫,N
lungwort,᛫ a Helleborus niger plant ᛫,N
lur,᛫ destruction ᛫ perdition ᛫ damage ᛫ loss ᛫,N
lurk,᛫ a method of fraud ᛫,N
lurry,᛫ destructive ᛫,AJ
lust,᛫ desire ᛫ appetite ᛫ craving ᛫,N
lustbere,᛫ desirable ᛫,AJ
lustihood,᛫ licentiousness ᛫,N
lusty,᛫ lustful ᛫ enthusiastic ᛫ rousing ᛫ vigorous ᛫,AJ
lutter,᛫ clear ᛫ pure ᛫ unadulterated ᛫ innocent ᛫ sincere ᛫ authentic ᛫,AJ
lutty,᛫ sly ᛫ crafty ᛫ cunning ᛫ astute ᛫,AJ
lye,᛫ fire ᛫ lightning ᛫ plasma [ᚹ] ᛭ to blaze ᛫,N᛭V
lyerash,᛫ a flash of lightning ᛫,N
Macedony,᛫ Macedonia ᛫ Macedon ᛫,N(P)
mad,᛫ insane ᛫ frenzied ᛫ crazy ᛫,AJ
madapple,᛫ an aubergine ᛫ an eggplant ᛫ a brinjal ᛫,N
madden,᛫ to derange ᛫,V
maddock,᛫ an earthworm ᛫ a maggot ᛫,N
madhouse,᛫ a psychiatric institution ᛫ a chaotic place ᛫,N
madman,᛫ an insane person ᛫ a lunatic ᛫ a maniac ᛫,N
madness,᛫ insanity ᛫,N
Maid,᛫ Virgo ᛫,PN
maid,᛫ a female domestic servant ᛫ a girl ᛫,N
